category_name,level,parent,url,product_count,scraped_at
Microondas,3,Línea Blanca > Hornos y microondas,https://www.dismac.com.bo/categorias/50-linea-blanca/hornos-electricos-y-microondas-duplicada/microondas.html,26,2025-11-13T00:08:46.722192
Tecnología,1,,https://www.dismac.com.bo/categorias/54-electronica.html,0,2025-11-13T00:08:50.996562
Tv & video,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/113-tv-video.html,0,2025-11-13T00:08:55.601318
Accesorios tv & video,3,Tecnología > Tv & video,https://www.dismac.com.bo/categorias/54-electronica/113-tv-video/46-accesorios.html,64,2025-11-13T00:09:07.124365
Home theaters,3,Tecnología > Tv & video,https://www.dismac.com.bo/categorias/54-electronica/113-tv-video/45-home-theater.html,24,2025-11-13T00:09:14.444200
Televisores,3,Tecnología > Tv & video,https://www.dismac.com.bo/categorias/54-electronica/113-tv-video/43-televisores.html,129,2025-11-13T00:09:25.930489
Audio mayor,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/audio-mayor-159.html,0,2025-11-13T00:09:30.315701
Equipo de sonido,3,Tecnología > Audio mayor,https://www.dismac.com.bo/categorias/54-electronica/audio-mayor-159/equipo-de-sonido-270.html,16,2025-11-13T00:09:35.637713
Radio para autos,3,Tecnología > Audio mayor,https://www.dismac.com.bo/categorias/54-electronica/audio-mayor-159/radio-autos-272.html,18,2025-11-13T00:09:40.682950
Parlantes,3,Tecnología > Audio mayor,https://www.dismac.com.bo/categorias/54-electronica/audio-mayor-159/parlantes-277.html,66,2025-11-13T00:09:46.765564
Audio menor,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/audio-menor-160.html,0,2025-11-13T00:09:51.366684
Audífonos,3,Tecnología > Audio menor,https://www.dismac.com.bo/categorias/54-electronica/audio-menor-160/audifono-273.html,163,2025-11-13T00:09:57.689415
Audífonos gamer,3,Tecnología > Audio menor,https://www.dismac.com.bo/categorias/54-electronica/audio-menor-160/audifono-gamming-274.html,9,2025-11-13T00:10:02.806386
