scrape_category,product_id,sku,title,categories,regular_price,sale_price,on_sale,discount,stock_status,rating,featured,url,image_url
Tienda General,4384,BEELINK-1-1,Beelink mini pc ultracompacta SER5PRO Ryzen™7 5800H (carcasa metálica) – Memoria 32GB – 1TB SSD,"Computación, Mini PCs",5400.00,5400.00,Yes,-4%,Out of Stock,0,No,https://www.boliviamart.com/producto/beelink-mini-pc-ultracompacta-ser5pro-ryzen5-5600h-carcasa-metalica-memoria-16gb-512gb-ssd/,https://www.boliviamart.com/wp-content/uploads/2022/10/363157912_6894677233876900_5019689205537437110_n-300x300.jpg
Tienda General,4485,BEELINK-1-2,Beelink mini pc ultracompacta SER6PRO Ryzen™7 7735HS (carcasa metálica) – Memoria 32GB – 500 GB SSD,"Computación, Mini PCs",6900.00,6900.00,Yes,-6%,Out of Stock,0,Yes,https://www.boliviamart.com/producto/beelink-mini-pc-ultracompacta-ser6pro-ryzen7-7735hs-carcasa-metalica-memoria-32gb-500gb-ssd/,https://www.boliviamart.com/wp-content/uploads/2023/09/357263671_6424347150946661_7309862218179571507_n-300x300.jpg
Tienda General,2634,SOS,BOTIQUIN DE PRIMEROS AUXILIOS 100 PCS,Salud y Belleza,245.00,245.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/botiquin-de-primeros-auxilios-100-pcs/,https://www.boliviamart.com/wp-content/uploads/2020/11/botiquinprimerosauxiliosemergenciaayudasaludonlineboliviaboliviamart5.jpg
Tienda General,2807,140PCS,BOTIQUIN DE PRIMEROS AUXILIOS 140 PCS,Salud y Belleza,270.00,270.00,Yes,-35%,In Stock,0,No,https://www.boliviamart.com/botiquin-de-primeros-auxilios-140-pcs/,https://www.boliviamart.com/wp-content/uploads/2020/11/botiquinprimerosauxiliosemergenciassaludcuidadohogarviajescompraronlineboliviaboliviamart3.jpg
Tienda General,2802,Swiss Safe,BOTIQUÍN DE PRIMEROS AUXILIOS KIT,Salud y Belleza,450.00,450.00,Yes,-25%,Out of Stock,0,No,https://www.boliviamart.com/botiquin-de-primeros-auxilios-kit/,https://www.boliviamart.com/wp-content/uploads/2020/11/botiquinprimerosauxiliosmedicoayudaemergenciacuracionsaluddesastreaccidenteonlineboliviaboliviamart4.jpg
Tienda General,2839,MBP481,CAMARA DE MONITOREO DE BEBE MOTOROLA,"Cámaras de seguridad, Seguridad",915.00,915.00,Yes,-4%,Out of Stock,0,No,https://www.boliviamart.com/camara-de-monitoreo-de-bebe-motorola/,https://www.boliviamart.com/wp-content/uploads/2020/11/camaravigilanciamonitoreobebeseguridadreciennacidocomprarmotorolambp481onlineboliviaboliviamart2.jpg
Tienda General,2843,MBP33XL,CAMARA DE MONITOREO DE BEBE MOTOROLA DE 3″,"Cámaras de seguridad, Seguridad",1240.00,1240.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/camara-de-monitoreo-de-bebe-motorola-de-3/,https://www.boliviamart.com/wp-content/uploads/2020/11/camarademonitoreodebebemotorolade3pulgadasmbp33xlseguridadcompraronlineboliviaboliviamart1.jpg
Tienda General,2640,GA/T1127-2013,CAMARA DE SEGURIDAD LENOVO  IP 1080P IMPERMEABLE,"Cámaras de seguridad, Seguridad",800.00,800.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-lenovo-ip-1080p-impermeable/,https://www.boliviamart.com/wp-content/uploads/2020/11/lenovocamaraipimpermeablealairelibrewifi10180pseguridadcontrolmonitoreoboliviaboliviamart.com3.jpg
Tienda General,2665,I31BC,CAMARA DE SEGURIDAD SANNCE I31BC CON APLICACION MOVIL,"Cámaras de seguridad, Seguridad",330.00,330.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-sannce-i31bc-con-aplicacion-movil/,https://www.boliviamart.com/wp-content/uploads/2020/11/sanncei31bccamaraipwifiseguridadsensorboliviaonlineboliviamart.jpg
Tienda General,2670,I41DC,CAMARA DE SEGURIDAD SANNCE I41DC CON APLICACION MOVIL,"Cámaras de seguridad, Seguridad",550.00,550.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-sannce-i41dc-con-aplicacion-movil/,https://www.boliviamart.com/wp-content/uploads/2020/11/sanncei41dcseguridadcamaraipmonitoreovigilanciaboliviamartcomonlinebolivia.jpg
Tienda General,2675,q7,CAMARA DE SEGURIDAD SANNCE Q7 CON APLICACION MOVIL,"Cámaras de seguridad, Seguridad",458.00,458.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-sannce-q7-con-aplicacion-movil/,https://www.boliviamart.com/wp-content/uploads/2020/11/sannceq7camaraseguridadwifiiponlineboliviaboliviamart.com10000.jpg
Tienda General,2680,Intraoral,CAMARA INTRA ORAL PARA ENDOSCOPIA O USO DENTAL,Salud y Belleza,440.00,440.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/camara-intra-oral-para-endoscopia-o-uso-dental/,https://www.boliviamart.com/wp-content/uploads/2020/11/camaraendoscopiaboliviamart1.jpg
Tienda General,2910,Cargador Portátil PowerCore 26800,Cargador Portátil PowerCore 26800,"Accesorios, Deportes y Aire Libre, Telefonía y Comunicaciones",760.00,760.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/cargador-portatil-powercore-26800/,https://www.boliviamart.com/wp-content/uploads/2020/11/a1374211_td06_v1_.jpg
Tienda General,4177,NORTHF-01,Carpa North Face Wawona 6 personas,"Camping, Deportes y Aire Libre",5880.00,5880.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/producto/carpa-north-face-wawona-6-personas/,https://www.boliviamart.com/wp-content/uploads/2022/07/287369305_5183644631717479_3959832513616617059_n-300x300.jpg
Tienda General,2684,SN 901,CEPILLO ELECTRICO LANSUNG SN 901 INALAMBRICO RECARGABLE CON 4 CABEZASSN 901,Salud y Belleza,350.00,350.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/cepillo-electrico-lansung-sn-901-inalambrico-recargable-con-4-cabezassn-901/,https://www.boliviamart.com/wp-content/uploads/2020/11/cepilloelectronicolansungsn901cuidadodentalsaludcompraronlinebolivia.jpg
